"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"4415","EPIC Robotz","","1822","1730","75.2","15.6","49.7","9.9","0.48","0.57","0.7","1"
"6560","Charging Champions","","1674","1612","53.2","8.9","34.5","9.8","0.42","0.14","0.6","2"
"399","Eagle Robotics","","1628","1585","46.5","8","32.4","6.2","0.25","0.07","0.4","3"
"3476","Code Orange","","1714","1636","59.3","11.8","40.1","7.3","0.4","0.22","0.5","4"
"846","The Funky Monkeys","","1743","1655","63.4","13.9","46.8","2.7","0.44","-0.05","0.1","5"
"10213","BALTA","true","1543","1533","34.1","7.6","24","2.5","0.42","0","0.2","6"
"2543","TitanBot","","1658","1603","51","4.1","36.4","10.5","0.34","-0.16","0.7","7"
"294","Beach Cities Robotics","","1706","1631","58","10.8","44.6","2.6","0.49","0.21","0.2","8"
"2637","Phantom Catz","","1593","1564","41.4","11.5","26.1","3.8","0.29","0.04","0.1","9"
"7157","μBotics","","1645","1594","49","8.7","33.3","7","0.5","0.09","0.4","10"
"7042","Poly Rabbotics","","1584","1558","40.1","6.2","28.1","5.8","0.25","0.04","0.3","11"
"4419","Team Rewind","","1648","1597","49.5","8.1","36.3","5.1","0.27","0.13","0.2","12"
"7709","Formosa Pangolin","","1681","1616","54.3","14","38.6","1.8","0.5","0.07","0","13"
"1700","Gatorbotics","","1484","1494","25.3","5.4","16.5","3.4","0.32","-0.11","0.1","14"
"3669","CarbonKnights","","1613","1576","44.4","9.2","29.1","6.1","0.49","-0.06","0.3","15"
"4123","Tribe Robotics","","1680","1615","54.1","14.3","38","1.9","0.28","0.04","0.1","16"
"5285","Sea Kings Robotics","","1550","1538","35.1","8.3","23.5","3.3","0.24","-0.12","0.1","17"
"7447","Rōnin Robotics","","1425","1444","16.6","5.2","8.6","2.8","0.27","-0.19","0.2","18"
"5199","Robot Dolphins From Outer S...","","1786","1696","69.9","13.8","46.1","10","0.49","0.16","0.7","19"
"980","ThunderBots","","1599","1567","42.3","8.2","30.4","3.7","0.3","-0.11","0.1","20"
"5012","Gryffingear","","1583","1557","39.8","5","30.5","4.3","0.28","-0.05","0.2","21"
"22","Double Deuce","true","1441","1460","19","3.8","11.6","3.6","0.25","0.08","0.2","22"
"6072","Triton Tech 6072","","1498","1504","27.3","5.3","19.8","2.3","0.21","-0.04","0.1","23"
"3993","Humanoids","true","1485","1494","25.4","5.3","16.6","3.5","0.19","-0.06","0.2","24"
"1160","Titanium Robotics","","1573","1551","38.4","8.8","25.8","3.8","0.35","-0.07","0.3","25"
"3952","Troy Robotics","","1495","1501","26.9","5","16.4","5.4","0.3","-0.03","0.3","26"
"3408","cyberCubs","true","1493","1500","26.6","4.4","20.7","1.4","0.32","-0.09","0","27"
"687","The Nerd Herd","","1541","1532","33.7","7.5","21.6","4.5","0.19","-0.07","0.3","28"
"5835","Sage Hill Robotics","","1483","1493","25.1","6.6","17.4","1.2","0.26","-0.19","0.1","29"
"599","The Robodox","","1605","1571","43.1","8.5","33.4","1.2","0.33","0.22","0","30"
"5869","QHHS Aqueducks","","1436","1454","18.2","2.7","12.9","2.6","0.13","-0.14","0.1","31"
"2584","Flame of The West","","1569","1549","37.8","6.3","24","7.5","0.39","-0.18","0.5","32"
"6060","Circuit Serpents","","1378","1387","9.7","4.9","3.6","1.3","0.31","-0.17","0","33"
"1515","MorTorq","","1532","1526","32.3","5","19.9","7.4","0.24","-0.18","0.4","34"
"691","Project 691 Robotics","true","1446","1464","19.8","6.6","8.6","4.6","0.26","-0.17","0.2","35"
"8521","CyberLions","","1458","1474","21.4","2.9","17.5","1.1","-0.04","-0.09","0","36"
"7607","The Blackbirds","","1389","1401","11.3","2.7","8.1","0.6","0.25","-0.11","0.1","37"
"2404","Team NEY Techs (TNT)","true","1505","1509","28.4","6.4","21.4","0.6","0.2","-0.06","0","38"
"9471","EF Academy","true","1432","1451","17.7","3.4","15.1","-0.8","0.11","-0.1","-0.1","39"
"3925","Ventura Robotics","","1395","1410","12.2","2.7","6.5","3","-0.01","-0.17","0.2","40"
