"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"254","The Cheesy Poofs","","1936","1835","91.9","21.1","60.2","10.6","0.58","0.62","0.7","1"
"8033","Highlander Robotics","","1837","1743","77.3","21.1","48.2","8","0.6","0.48","0.5","2"
"4270","Crusaders","","1857","1762","80.3","17.7","51.9","10.7","0.46","0.5","0.6","3"
"972","Iron Claw","","1706","1631","58","11.1","37.5","9.3","0.45","0.13","0.5","4"
"5507","Robotic Eagles","","1739","1651","62.8","19.6","35.5","7.7","0.54","0.09","0.4","5"
"5419","Berkelium","","1734","1648","62.1","13.8","39.5","8.8","0.34","0.14","0.4","6"
"6238","Popcorn Penguins","","1698","1626","56.8","8.1","40.8","7.9","0.33","-0.03","0.5","7"
"199","Deep Blue","","1484","1494","25.3","6.1","18.2","1","0.16","-0.06","0.1","8"
"4669","Galileo Robotics","","1512","1513","29.5","5.9","21.6","2","0.26","0.07","0.1","9"
"6059","System Overload Robotics","","1490","1498","26.1","5.1","19.2","1.8","0.23","0.04","0.1","10"
"1868","Space Cookies","","1550","1538","35.1","10.3","20.5","4.3","0.44","-0.06","0.2","11"
"6418","The Missfits","","1636","1590","47.8","14.7","32.9","0.2","0.4","0.07","0","12"
"5171","Deus Ex Machina","","1618","1579","45.1","10.9","27.1","7.1","0.49","-0.04","0.5","13"
"3482","Arrowbotics","","1653","1600","50.3","12.9","36.1","1.3","0.51","0.1","0.1","14"
"5924","Golden Gate Robotics","","1509","1511","29","8.6","17.3","3.2","0.33","0.11","0.2","15"
"9470","Ctrl-Alt-Defeat","","1649","1597","49.7","12.5","36.6","0.6","0.31","0.13","0","16"
"668","The Apes of Wrath","","1422","1441","16.1","2.5","8.6","5","0.15","-0.08","0.3","17"
"1351","TKO","","1646","1595","49.2","16.2","31.2","1.7","0.35","0.14","0.1","18"
"10246","INFINITECH","true","1441","1460","19","6.1","11.3","1.6","0.35","0.02","0","19"
"841","The BioMechs","","1691","1622","55.8","9.8","39.9","6.1","0.4","0.09","0.3","20"
"2854","The Prototypes","","1527","1523","31.6","6.2","23.1","2.3","0.2","0.14","0.2","21"
"766","M-A Bears","","1659","1603","51.1","7.3","37.9","5.9","0.23","0.09","0.2","22"
"10202","NOVATRON","","1564","1546","37","7.7","28.1","1.3","0.26","0.02","0","23"
"1280","Ragin' C-Biscuits","","1458","1474","21.5","4.2","15.1","2.2","0.17","-0.14","0","24"
"253","Boba Bots","","1472","1485","23.6","3","17.9","2.6","0.14","-0.02","0","25"
"8793","Pumpkin Bots","","1565","1547","37.3","11.6","21.5","4.2","0.52","-0.05","0","26"
"2141","Spartronics","true","1469","1483","23","6.7","15.1","1.2","0.33","0","0","27"
"6985","ENKA TECH","","1525","1521","31.3","7.9","19","4.4","0.23","-0.17","0.3","28"
"9038","SF UNITY","","1637","1590","47.8","14.5","32","1.3","0.47","0.28","0.1","29"
"10500","Lodestar","true","1439","1457","18.6","7","10","1.6","0.22","-0.13","0.1","30"
"649","MSET Fish","","1533","1527","32.5","8.4","21.9","2.2","0.26","-0.03","0.1","31"
"4990","Basement Bots","","1496","1503","27.1","5.2","19.9","1.9","0.41","0.03","0.1","32"
"8852","Drew Robotics","","1659","1603","51.1","13.5","37.4","0.2","0.54","0.22","0","33"
"9111","Pyro Mechanics","true","1428","1447","17.1","4","11.4","1.6","0.31","-0.1","0","34"
"4186","Alameda Aztechs","","1488","1497","25.9","5.6","17.8","2.5","0.05","-0.02","0","35"
"2204","Rambots","","1584","1558","40.1","11.6","26.9","1.6","0.55","-0.14","0.1","36"
"4765","PWRUP","","1538","1530","33.3","3.3","28.4","1.6","0.09","0.1","0","37"
"8016","Eco Robotics","","1524","1521","31.2","5","24","2.3","0.11","-0.13","0","38"
"9125","Mechanical Magicians","","1469","1483","23.1","4.9","17.7","0.4","0.5","-0.08","-0.1","39"
"589","Falkon Robotics","","1504","1508","28.3","4.9","15.6","7.8","0.1","-0.13","0.5","40"
"6814","Ellipse","","1523","1521","31.1","7","22.7","1.3","0.23","-0.09","-0.1","41"
"9781","Northgate Deep-Sea Welders ...","true","1385","1396","10.6","3.7","5.1","1.8","0.09","-0.19","0","42"
"5499","Bearium","","1517","1516","30.1","5.9","22.9","1.3","0.21","0.05","0","43"
"9202","Silicon Valley Technos","true","1386","1398","10.9","4.5","5","1.4","0.19","-0.01","0","44"
"2551","Penguin Empire","","1451","1468","20.4","2.9","14.9","2.7","0.04","-0.09","0","45"
"8045","CVHS First Robotics: The Wa...","true","1465","1480","22.5","4.6","15.3","2.6","0.09","-0.01","0.1","46"
"10252","Mecha Lions","","1437","1456","18.4","3.5","13.3","1.6","-0.13","-0.06","0.1","47"
"4171","BayBots","true","1395","1410","12.2","5.9","4.2","2.1","0.18","-0.16","0.1","48"
"4255","Robodores","","1404","1421","13.6","4.4","6.5","2.7","0.03","0.07","0.2","49"
"5985","Project Bucephalus","","1449","1467","20.2","7.3","10.5","2.4","0.13","-0.21","0.1","50"
"7245","LionBot Robotics","","1376","1384","9.4","3.6","5.7","0.2","-0.02","-0.05","-0.1","51"
"10339","BrainShift","","1410","1427","14.4","4.7","7.6","2.1","0.28","-0.16","0","52"
"3390","ANATOLIAN EAGLEBOTS","true","1377","1386","9.6","0.7","8.3","0.6","0.1","-0.17","-0.1","53"
"4973","Gator Gears","","1396","1411","12.4","3.2","9.3","-0.1","0.04","-0.13","-0.2","54"
"10221","#1 Sea Bass","true","1387","1399","11","1.9","7.3","1.8","-0.12","-0.16","0.1","55"
