"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"1323","MadTown Robotics","true","1878","1810","46","17.3","22.8","5.9","0.48","0.42","","1"
"5940","BREAD","","1874","1806","45.6","15.4","23.9","6.3","0.56","0.44","","2"
"841","The BioMechs","","1692","1630","30.8","8.9","19.2","2.6","0.49","0.08","","3"
"581","Blazing Bulldogs","","1748","1687","35.3","12.8","17.6","5","0.49","0.35","","4"
"840","Aragon Robotics Team","","1648","1601","27.2","9.6","15.6","1.9","0.41","0","","5"
"3970","Duncan Dynamics","","1603","1573","23.5","7.6","14","1.9","0.29","0.01","","6"
"3598","SEStematic Eliminators","","1538","1531","18.1","8.1","7.9","2.1","0.26","0.17","","7"
"6947","Savage Tumaz","","1684","1624","30.1","13.7","14.8","1.6","0.38","0.08","","8"
"7157","μBotics","","1612","1578","24.2","7.4","14","2.7","0.26","0.31","","9"
"8768","CTEC Titans","","1515","1515","16.2","5","8.4","2.9","0.16","0.2","","10"
"5817","Uni-Rex","","1690","1628","30.6","9","18.5","3.1","0.29","0","","11"
"3501","Firebots","","1653","1604","27.6","11.7","15","0.9","0.25","0.09","","12"
"3925","Ventura Robotics","","1549","1538","19.1","7.7","9.3","2","0.16","0.09","","13"
"6662","FalconX","","1586","1562","22","10.5","10.7","0.9","0.39","-0.06","","14"
"1671","Buchanan Bird Brains","","1621","1583","24.9","5","16.8","3.1","0.3","0.03","","15"
"2489","The Insomniacs","","1541","1533","18.4","8.5","10.3","-0.4","0.22","-0.08","","16"
"972","Iron Claw","","1626","1587","25.4","8.9","14.8","1.6","0.39","-0.02","","17"
"3512","Spartatroniks","","1560","1545","19.9","7.9","7.6","4.4","0.07","0.09","","18"
"4141","Monarch Robotics","true","1553","1541","19.3","6","13.4","-0.1","0.37","-0.11","","19"
"8404","SKYWALKERS","","1560","1545","19.9","7.7","11.6","0.6","0.3","-0.07","","20"
"9143","Armor Robotics","","1465","1478","12.1","5.6","4.7","1.8","0.05","-0.04","","21"
"6657","Arborbotics","true","1583","1560","21.8","10.3","8.5","3.1","0.22","-0.01","","22"
"8840","Bay Robotics","","1491","1498","14.2","5","9.1","0.2","0.19","-0.04","","23"
"4322","Clockwork","","1441","1457","10.1","4.4","5.1","0.7","0.04","0","","24"
"1351","TKO","","1570","1552","20.8","5.8","13.4","1.6","0.4","-0.05","","25"
"6998","Unipards","true","1483","1493","13.7","5.2","8","0.4","0.22","-0.17","","26"
"766","M-A Bears","true","1459","1473","11.7","4.8","5.6","1.3","0.07","-0.07","","27"
"9634","Zero Tolerance","true","1442","1458","10.2","4.5","5.5","0.2","0.14","-0.02","","28"
"6305","Stable Circuits","true","1503","1507","15.2","4","9.6","1.6","0.07","0.02","","29"
"3491","FUTURE Dinos","true","1446","1461","10.5","3.3","7","0.2","0.04","-0.05","","30"
"5171","Deus Ex Machina","true","1457","1471","11.5","5","5.1","1.4","0.13","-0.14","","31"
"9400","BagelBytes","true","1462","1476","11.9","3.5","7.9","0.5","0.15","0","","32"
"1280","Ragin' C-Biscuits","true","1465","1478","12.1","3.2","7.7","1.3","0.19","0.09","","33"
"2367","Lancer Robotics","","1442","1458","10.3","5.6","3.5","1.1","0","-0.06","","34"
"6059","System Overload Robotics","true","1423","1439","8.7","5","2.1","1.7","0","0","","35"
"9706","R^3   (Redwood Ranger Robot...","true","1479","1489","13.3","4.6","7.8","0.9","0.02","-0.09","","36"
"6711","Millennial Falcons","true","1382","1392","5.3","2.2","3.4","-0.2","-0.16","-0.13","","37"
"7589","Lishan Blue Magpie","true","1408","1423","7.5","3","4","0.5","0","0.01","","38"
"6804","Team Wolfpack","true","1362","1366","3.7","3.5","-1.1","1.3","-0.11","-0.03","","39"
