"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"604","Quixilver","","1794","1731","39.1","15.9","19.2","4","0.6","0.29","","1"
"1678","Citrus Circuits","","1946","1874","51.6","19.1","25.2","7.2","0.75","0.56","","2"
"254","The Cheesy Poofs","true","1931","1860","50.3","19.5","24.4","6.5","0.66","0.47","","3"
"5419","Berkelium","","1728","1664","33.7","10.7","17","6","0.46","0.29","","4"
"8048","East Palo Alto Churrobots","","1596","1568","22.9","7.1","12.8","3","0.28","0.18","","5"
"6619","GravitechX","true","1648","1601","27.1","11","15","1.1","0.48","0.08","","6"
"2073","EagleForce","","1583","1560","21.8","8.8","11.5","1.5","0.21","-0.06","","7"
"2551","Penguin Empire","","1554","1541","19.4","7.6","9.8","2.1","0.25","0.12","","8"
"6947","Savage Tumaz","true","1614","1580","24.4","12","10.7","1.7","0.25","0.13","","9"
"5458","Digital Minds","true","1633","1591","25.9","8.5","15.2","2.2","0.34","0.04","","10"
"8404","SKYWALKERS","","1519","1518","16.6","6.4","8.9","1.3","0.16","-0.01","","11"
"3189","Circuit Breakers","","1471","1483","12.6","4","7.5","1.1","0.03","-0.06","","12"
"3598","SEStematic Eliminators","true","1488","1496","14","5.7","7.6","0.7","0.2","0.1","","13"
"1662","Raptor Force Engineering","true","1471","1483","12.6","5.3","5.1","2.3","0.08","-0.01","","14"
"7686","Acabots","true","1378","1387","5","1.8","3.1","0.2","0.09","0.05","","15"
"3257","Vortechs","true","1457","1471","11.4","3.7","6.7","1.1","0.15","0","","16"
"5274","Wolverine Robotics","true","1519","1518","16.6","5.5","7.7","3.5","0.21","0.08","","17"
"2135","Presentation Invasion","true","1515","1515","16.2","6.8","7.7","1.8","0.09","-0.04","","18"
"5515","Blue Power Robotics","true","1433","1449","9.5","3.5","4","2","0.04","0","","19"
"7667","OtterBots","true","1520","1519","16.7","6","9.9","0.8","0.21","-0.01","","20"
"3880","Tiki Techs","true","1493","1500","14.5","6","7.1","1.4","0.11","-0.08","","21"
"7130","Future Shock","","1468","1481","12.4","5.2","5.6","1.7","-0.06","0.08","","22"
"2141","Spartronics","true","1413","1428","7.9","2.9","3.7","1.3","-0.02","-0.1","","23"
"3482","Arrowbotics","true","1433","1450","9.5","4.5","5.2","-0.2","0.05","0.02","","24"
"8015","The Cheetahs","true","1446","1462","10.6","5","5.1","0.5","0.07","-0.19","","25"
"2204","Rambots","true","1434","1450","9.6","2.4","6.1","1.1","0.1","0.01","","26"
"751","barn2robotics","true","1409","1424","7.5","3.1","3.3","1.2","-0.08","-0.04","","27"
"4159","CardinalBotics","true","1420","1436","8.5","0.7","6.5","1.3","0","-0.03","","28"
"701","RoboVikes","true","1406","1421","7.3","3","3.9","0.5","0.1","-0.17","","29"
"9125","Mechanical Magicians","","1393","1406","6.2","2.2","3.4","0.7","-0.01","-0.06","","30"
"199","Deep Blue","true","1382","1393","5.4","2.7","1.9","0.8","-0.04","0.05","","31"
"4135","Iron Patriots","true","1449","1464","10.8","2.3","7","1.5","0.09","-0.05","","32"
"7528","Nuts and Bolts","true","1461","1474","11.8","5.6","4.7","1.5","0.01","-0.13","","33"
"4643","Butte Built Bots","true","1390","1402","6","2","3.3","0.7","-0.02","0.03","","34"
"6665","C-Otters","true","1369","1376","4.3","1.3","1.8","1.2","-0.06","-0.07","","35"
"1072","Harker Robotics","true","1443","1458","10.3","3.6","5.7","0.9","0.16","-0.13","","36"
"6981","Clockwork Concord","true","1328","1320","0.9","0.1","-0.8","1.6","-0.12","-0.04","","37"
"5728","MC2","true","1362","1366","3.7","3","0.1","0.6","0.09","-0.16","","38"
