"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"368","Team Kika Mana","true","1776","1714","37.6","13.6","19.1","4.9","0.49","0.3","","1"
"1197","TorBots","","1599","1570","23.1","10.1","9.7","3.4","0.45","0.14","","2"
"7415","Jaguar Robotics Sponsored B...","true","1560","1545","19.9","7.4","11.5","1.1","0.3","0.03","","3"
"9408","Warbots","","1727","1663","33.6","12","17.8","3.8","0.33","0.21","","4"
"687","The Nerd Herd","","1675","1618","29.4","12.8","16.3","0.2","0.38","0.1","","5"
"4201","The Vitruvian Bots","","1616","1581","24.6","5.3","16.1","3.2","0.32","0.3","","6"
"1452","Omnicats","","1551","1539","19.2","8.5","8","2.6","0.19","0.13","","7"
"1148","Harvard Westlake Robotics","","1585","1561","22","2.4","16.8","2.8","0.36","0.08","","8"
"5199","Robot Dolphins From Outer S...","","1619","1583","24.8","8.7","10.8","5.2","0.2","0.28","","9"
"7042","Poly Rabbotics","true","1631","1590","25.8","9.7","13","3.1","0.22","0.02","","10"
"7137","Project 212","true","1474","1486","12.9","4","6.4","2.5","0.19","0.2","","11"
"3759","SMARTBOTS","","1446","1462","10.6","4.1","4.7","1.8","-0.03","0.08","","12"
"1160","Titanium Robotics","true","1529","1525","17.4","6.7","9.6","1.1","0.21","0.05","","13"
"2465","KauaiBots","true","1551","1539","19.2","7.3","10.5","1.4","0.2","0.05","","14"
"2584","Flame of The West","true","1569","1551","20.6","7.3","11","2.4","0.17","0.04","","15"
"1515","MorTorq","true","1554","1542","19.5","9.3","7.6","2.6","0.13","0.1","","16"
"597","The Wolverines","true","1571","1553","20.9","7.9","11.5","1.5","0.33","-0.16","","17"
"4123","Tribe Robotics","true","1474","1486","12.9","4.8","5.7","2.4","0.1","0.31","","18"
"4079","Quantum Leap","true","1520","1519","16.7","5.2","10.2","1.3","0.1","0.14","","19"
"2443","Blue Thunder","true","1552","1540","19.3","7.2","12","0.1","0.1","-0.14","","20"
"702","Bagel Bytes","true","1513","1514","16","6.7","7.9","1.5","0.17","-0.04","","21"
"1661","Griffitrons","","1434","1450","9.6","3.5","5.1","1","0.03","0.06","","22"
"2710","JetStream","","1553","1540","19.3","9.7","8","1.6","0.12","0.13","","23"
"1159","Ramona Rampage","","1410","1426","7.7","2.8","4.1","0.8","-0.03","-0.01","","24"
"4501","Humans","","1384","1395","5.5","4.3","0.1","1.1","-0.12","0.14","","25"
"8898","Royal Rebel Robotics","true","1413","1429","7.9","1.8","5.9","0.2","0.25","0.05","","26"
"2637","Phantom Catz","true","1409","1424","7.5","1.3","5.3","0.9","-0.08","0.01","","27"
"1836","The MilkenKnights","true","1452","1467","11.1","4.1","7.2","-0.3","0.06","-0.07","","28"
"5089","Robo-Nerds","true","1469","1481","12.5","5.4","6.4","0.6","0.05","-0.16","","29"
"4999","Momentum","true","1430","1446","9.3","3.7","3.8","1.8","-0.07","-0.08","","30"
"3473","Team Sprocket","","1397","1411","6.6","2.1","3.4","1.1","-0.04","-0.07","","31"
"3859","Wolfpack Robotics","","1420","1436","8.5","4.1","2.7","1.7","-0.09","-0.03","","32"
"968","RAWC (Robotics Alliance Of ...","true","1428","1444","9.1","3.9","4.4","0.8","0.05","0.15","","33"
"6658","Rockbotics","","1434","1450","9.6","2.2","6.1","1.3","-0.09","0.02","","34"
"980","ThunderBots","","1429","1445","9.2","2.8","5","1.4","-0.15","-0.09","","35"
"9564","Taishan Robotics","true","1386","1397","5.7","0.9","3.9","0.8","0.08","-0.15","","36"
"7230","Mythic Mechanix","true","1368","1374","4.2","3.7","-0.7","1.2","-0.11","-0.06","","37"
"599","The Robodox","true","1444","1460","10.5","3.3","5.8","1.3","0.11","-0.06","","38"
"3408","cyberCubs","true","1439","1455","10","4.3","4.1","1.6","-0.09","-0.12","","39"
"5669","Techmen","true","1412","1427","7.8","2.6","3.7","1.5","0.02","-0.16","","40"
"6000","Firehawk Robotics","true","1408","1423","7.5","3.4","3.3","0.7","-0.1","-0.06","","41"
"5857","Walnut Valley Robotics","true","1373","1382","4.6","1.9","3","-0.2","-0.11","-0.08","","42"
"1759","Potatoes","true","1354","1357","3.1","-0.5","3.4","0.2","-0.17","-0.08","","43"
"6904","TeraWatts","true","1360","1364","3.5","2.6","1.1","-0.2","-0.15","-0.14","","44"
