"num","team","first_event","unitless_epa","norm_epa","total_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","rank"
"4414","HighTide","","1802","1739","39.8","15.5","19","5.2","0.49","0.27","","1"
"4481","Team Rembrandts","","1796","1733","39.3","16.4","20.5","2.5","0.65","0.04","","2"
"115","MVRT","true","1630","1590","25.7","8.6","14.6","2.6","0.29","0.17","","3"
"3749","Team Optix","true","1557","1543","19.7","7.4","11.5","0.8","0.27","0.04","","4"
"3476","Code Orange","true","1639","1595","26.4","11.5","12.5","2.4","0.31","0.11","","5"
"4738","Patribots","true","1665","1611","28.5","10","15.3","3.2","0.32","0.06","","6"
"5817","Uni-Rex","true","1615","1580","24.4","7.3","14.3","2.9","0.13","-0.02","","7"
"9084","Octobots","true","1675","1618","29.4","11.7","14.1","3.6","0.27","-0.03","","8"
"687","The Nerd Herd","true","1667","1613","28.7","11.2","16.2","1.3","0.41","0.07","","9"
"3925","Ventura Robotics","true","1447","1463","10.7","4.9","5.3","0.5","0.1","0.15","","10"
"1388","Eagle Robotics","true","1605","1573","23.6","7.3","15.8","0.5","0.1","0.05","","11"
"3970","Duncan Dynamics","true","1511","1513","15.9","6","8.8","1.1","0.05","-0.02","","12"
"5136","MechaPirates","true","1495","1501","14.6","5","6.6","3","-0.08","0.08","","13"
"8","Paly Robotics","true","1513","1514","16.1","5.2","9.6","1.2","0.22","-0.03","","14"
"4276","Surf City Vikings","true","1494","1501","14.5","3.6","9.3","1.6","-0.05","-0.02","","15"
"8768","CTEC Titans","true","1466","1479","12.2","4.2","5.9","2.1","-0.02","0.13","","16"
"696","Circuit Breakers","","1587","1563","22.2","7.3","14.3","0.6","0.23","-0.13","","17"
"8005","Mega MeadowBots","true","1485","1494","13.8","5","7.5","1.3","0.19","-0.02","","18"
"4014","Pixelators","true","1471","1483","12.6","3.8","6.9","1.9","0.02","0.06","","19"
"9635","Cyber Rabbit","","1480","1490","13.4","4.7","7.9","0.8","0.03","-0.12","","20"
"6995","NOMAD","true","1571","1552","20.8","4.9","14.4","1.5","0.01","0.08","","21"
"7323","TriTron","true","1462","1475","11.9","4.4","5.8","1.7","0.15","-0.07","","22"
"9421","Nexus","true","1414","1430","8","4","1.8","2.1","-0.01","0.1","","23"
"589","Falkon Robotics","true","1560","1545","19.9","6.3","10.9","2.7","-0.03","0.16","","24"
"3863","Pantherbotics","","1462","1475","11.9","5.4","5","1.5","-0.04","-0.05","","25"
"6764","Flash Drives","","1389","1401","5.9","2.8","2.6","0.6","-0.03","-0.1","","26"
"4019","Mechanical Paradise","true","1453","1468","11.1","2.5","6.5","2.2","-0.07","0.02","","27"
"3328","NoHoRobo","","1397","1410","6.6","2.3","1.9","2.4","-0.11","0.19","","28"
"5012","Gryffingear","true","1390","1402","6","1.7","3.1","1.2","0.02","0.02","","29"
"1138","Eagle Engineering","true","1523","1520","16.9","5.8","10.3","0.8","0.18","-0.13","","30"
"2375","Dragon Robotics","true","1375","1383","4.8","3.3","0","1.4","-0.12","0.06","","31"
"3881","WHEA Sharkbots","true","1419","1435","8.4","2.3","5.9","0.2","0.03","-0.06","","32"
"4817","One Degree North","true","1403","1418","7.1","3.1","2.8","1.2","0.03","-0.07","","33"
"8533","Rancho Reapers","true","1410","1426","7.7","1.8","5.6","0.2","-0.07","0.12","","34"
"6934","Scorps","true","1402","1416","7","3","3.4","0.7","0.04","0.03","","35"
"4711","The Flying Aces","true","1365","1371","4","1.5","0.5","2","-0.05","0.12","","36"
"6060","Circuit Serpents","true","1485","1494","13.8","5.6","6.3","1.9","-0.03","-0.02","","37"
"7327","Metal Jackets","true","1441","1457","10.2","5","4.4","0.8","0.01","-0.07","","38"
"8521","CyberLions","true","1372","1380","4.5","1.2","2.2","1.2","-0.07","0.03","","39"
"1661","Griffitrons","true","1408","1423","7.5","3.4","3.5","0.6","-0.03","0.05","","40"
"5835","Sage Hill Robotics","true","1436","1453","9.8","7","1.9","0.9","-0.09","-0.02","","41"
"691","Project 691 Robotics","true","1394","1407","6.3","2.4","2.8","1.1","-0.03","-0.02","","42"
"5285","Sea Kings Robotics","true","1457","1472","11.5","3","7.5","1.1","0","0.11","","43"
"8060","VHS Robotics","true","1389","1400","5.9","1.9","2.8","1.2","0.1","-0.04","","44"
"3216","MRT","true","1491","1498","14.2","5","8.3","1","-0.01","-0.04","","45"
"399","Eagle Robotics","true","1437","1453","9.9","3.7","3.5","2.7","-0.04","0.06","","46"
"9172","Robo-Sharks","true","1365","1370","3.9","2.4","1.7","-0.2","-0.02","-0.14","","47"
"6885","The Pilots","true","1391","1404","6.1","2.4","2.8","0.9","-0.14","-0.07","","48"
