event,team_num,norm_epa
2025cala,8861,1421
2025cala,1759,1300
2025cala,9505,1400
2025cala,8898,1273
2025caoc,4738,1625
2025caoc,4415,1634
2025caoc,8033,1640
2025caoc,6995,1601
2025caoc,2443,1544
2025caoc,5199,1631
2025caoc,973,1584
2025caoc,7230,1544
2025caoc,7157,1558
2025caoc,1538,1588
2025caoc,4141,1541
2025caoc,9408,1610
2025caoc,5835,1463
2025caoc,3476,1548
2025caoc,5805,1489
2025caoc,2710,1507
2025caoc,3020,1515
2025caoc,3952,1503
2025caoc,5500,1466
2025caoc,2486,1515
2025caoc,4079,1529
2025caoc,4999,1470
2025caoc,1661,1486
2025caoc,10333,1436
2025caoc,3309,1479
2025caoc,3859,1391
2025caoc,840,1505
2025caoc,8,1567
2025caoc,4276,1507
2025caoc,3009,1483
2025caoc,2853,1447
2025caoc,8521,1462
2025caoc,9271,1481
2025caoc,3501,1459
2025caoc,7447,1395
2025caoc,3295,1472
2025caoc,6695,1413
2025caoc,3473,1522
2025caoc,4984,1446
2025caoc,4619,1438
2025caoc,7042,1462
2025caoc,5285,1451
2025caoc,6904,1406
2025caoc,8871,1462
2025caoc,867,1385
2025caoc,7415,1455
2025caoc,5669,1296
2025casf,5940,1909
2025casf,8033,1674
2025casf,840,1560
2025casf,3970,1631
2025casf,6036,1645
2025casf,4159,1558
2025casf,8852,1583
2025casf,3256,1568
2025casf,7636,1517
2025casf,846,1559
2025casf,114,1550
2025casf,5104,1528
2025casf,5507,1562
2025casf,4904,1487
2025casf,7667,1526
2025casf,9038,1556
2025casf,5924,1479
2025casf,10523,1628
2025casf,1458,1477
2025casf,1868,1512
2025casf,4765,1533
2025casf,5817,1561
2025casf,5728,1412
2025casf,841,1536
2025casf,4669,1481
2025casf,5700,1500
2025casf,1280,1415
2025casf,8016,1507
2025casf,4186,1485
2025casf,10064,1397
2025casf,2551,1485
2025casf,8859,1401
2025casf,7589,1471
2025casf,10281,1479
2025casf,4255,1456
2025casf,5430,1385
2025casf,8840,1378
2025casf,4973,1456
2025casf,10390,1434
2025casf,6822,1425
2025casf,6506,1420
2025caph,4414,1639
2025caph,3255,1652
2025caph,1388,1576
2025caph,3863,1543
2025caph,3598,1551
2025caph,4400,1596
2025caph,2584,1559
2025caph,6657,1491
2025caph,2543,1517
2025caph,498,1570
2025caph,4201,1548
2025caph,3759,1515
2025caph,5817,1547
2025caph,2485,1543
2025caph,610,1546
2025caph,5137,1497
2025caph,9452,1543
2025caph,10120,1524
2025caph,6658,1443
2025caph,5515,1458
2025caph,6885,1431
2025caph,6560,1530
2025caph,8015,1512
2025caph,8119,1521
2025caph,8891,1468
2025caph,988,1425
2025caph,2375,1498
2025caph,2102,1467
2025caph,8768,1448
2025caph,6766,1527
2025caph,399,1531
2025caph,1159,1370
2025caph,4,1483
2025caph,5025,1468
2025caph,9599,1511
2025caph,114,1488
2025caph,1452,1427
2025caph,10147,1451
2025caph,3881,1467
2025caph,702,1514
2025caph,3647,1479
2025caph,2839,1467
2025caph,991,1435
2025caph,9534,1395
2025caph,9772,1432
2025caph,2658,1432
2025cave,4481,1755
2025cave,4414,1717
2025cave,3863,1612
2025cave,10698,1485
2025cave,7426,1572
2025cave,5026,1583
2025cave,5012,1534
2025cave,3512,1542
2025cave,971,1616
2025cave,9421,1446
2025cave,9772,1424
2025cave,5514,1448
2025cave,9084,1537
2025cave,10147,1471
2025cave,1138,1555
2025cave,2429,1557
2025cave,6479,1487
2025cave,4,1479
2025cave,3256,1492
2025cave,1661,1511
2025cave,4123,1541
2025cave,4079,1543
2025cave,10166,1398
2025cave,2637,1482
2025cave,7419,1517
2025cave,589,1500
2025cave,5136,1491
2025cave,3880,1485
2025cave,5700,1457
2025cave,4019,1351
2025cave,3328,1392
2025cave,1622,1405
2025cave,7323,1480
2025cave,8404,1464
2025cave,3749,1424
2025cave,6934,1402
2025cave,4711,1389
2025cave,6000,1415
2025cave,1868,1422
2025cave,6060,1400
2025cave,7327,1468
2025cave,5869,1413
2025cave,8006,1320
2025cave,4183,1445
2025cave,6764,1391
2025cave,6553,1388
2025cave,8060,1360
2025cave,4160,1425
2025cave,5805,1506
2025cave,8533,1413
2025cave,3925,1388
2025cave,1280,1332
