event,team_num,norm_epa
2024caav,1148,1655
2024caav,294,1694
2024caav,2659,1625
2024caav,1538,1640
2024caav,5458,1608
2024caav,2429,1589
2024caav,2584,1593
2024caav,4419,1564
2024caav,6657,1581
2024caav,2073,1612
2024caav,7673,1505
2024caav,399,1603
2024caav,6072,1536
2024caav,5137,1551
2024caav,4123,1534
2024caav,7444,1568
2024caav,968,1514
2024caav,1515,1575
2024caav,1836,1494
2024caav,2658,1573
2024caav,7682,1512
2024caav,2543,1533
2024caav,4322,1525
2024caav,691,1444
2024caav,6479,1498
2024caav,8768,1554
2024caav,6060,1527
2024caav,5012,1441
2024caav,9666,1448
2024caav,8569,1503
2024caav,7607,1420
2024caav,599,1516
2024caav,3993,1433
2024caav,2404,1425
2024caav,5857,1356
2024caav,6305,1499
2024caav,4014,1479
2024caav,9471,1408
2024caav,8006,1369
2024caav,5869,1483
2024capt,0,0
2024camb,1323,1948
2024camb,604,1840
2024camb,100,1608
2024camb,115,1615
2024camb,971,1640
2024camb,3045,1579
2024camb,4765,1565
2024camb,2135,1589
2024camb,4135,1516
2024camb,5700,1561
2024camb,2643,1497
2024camb,3669,1529
2024camb,253,1516
2024camb,1072,1529
2024camb,6962,1571
2024camb,5089,1518
2024camb,6918,1475
2024camb,2473,1558
2024camb,7413,1495
2024camb,5171,1514
2024camb,7777,1429
2024camb,5104,1530
2024camb,3257,1512
2024camb,2035,1486
2024camb,9006,1466
2024camb,1280,1515
2024camb,649,1550
2024camb,6665,1381
2024camb,6884,1424
2024camb,4255,1528
2024camb,7528,1458
2024camb,9546,1411
2024camb,668,1473
2024camb,6506,1423
2024camb,852,1429
2024camb,4171,1437
2024cabe,254,1952
2024cabe,1678,1952
2024cabe,5940,1929
2024cabe,114,1762
2024cabe,9609,1619
2024cabe,5419,1701
2024cabe,581,1744
2024cabe,972,1640
2024cabe,4698,1647
2024cabe,6619,1703
2024cabe,2288,1608
2024cabe,841,1700
2024cabe,649,1587
2024cabe,5507,1559
2024cabe,3045,1593
2024cabe,8852,1561
2024cabe,3256,1615
2024cabe,7245,1478
2024cabe,3482,1501
2024cabe,5274,1551
2024cabe,4159,1504
2024cabe,9038,1495
2024cabe,2854,1558
2024cabe,6418,1567
2024cabe,1700,1508
2024cabe,9545,1505
2024cabe,5985,1504
2024cabe,7667,1524
2024cabe,8159,1571
2024cabe,4255,1553
2024cabe,751,1440
2024cabe,8045,1425
2024cabe,5430,1453
2024cabe,4904,1508
2024cabe,4669,1503
2024cabe,7137,1499
2024cabe,7419,1532
2024cabe,9781,1414
2024cabe,2637,1453
2024cabe,9111,1424
2024cabe,4186,1479
2024cabe,6814,1473
2024cabe,9470,1482
2024cabe,4990,1497
2024cabe,2204,1462
2024cabe,766,1517
2024cabe,1458,1537
2024cabe,1160,1534
2024cabe,4973,1464
2024cabe,8793,1428
2024cabe,199,1462
2024cabe,7401,1391
2024cabe,9634,1429
2024cabe,6059,1441
2024cabe,7840,1472
2024cabe,6238,1474
2024cabe,6884,1464
2024cabe,7729,1409
2024cabe,9202,1459
2024cabe,9519,1456
2024cafr,1323,1810
2024cafr,5940,1806
2024cafr,841,1630
2024cafr,581,1687
2024cafr,840,1601
2024cafr,3970,1573
2024cafr,3598,1531
2024cafr,6947,1624
2024cafr,7157,1578
2024cafr,8768,1515
2024cafr,5817,1628
2024cafr,3501,1604
2024cafr,3925,1538
2024cafr,6662,1562
2024cafr,1671,1583
2024cafr,2489,1533
2024cafr,972,1587
2024cafr,3512,1545
2024cafr,4141,1541
2024cafr,8404,1545
2024cafr,9143,1478
2024cafr,6657,1560
2024cafr,8840,1498
