event,team_num,fsm
2026calas,4415,32.91
2026calas,597,44.11
2026calas,3759,39.87
2026calas,6072,13.2
2026calas,5089,72.67
2026calas,1159,30.1
2026calas,5835,29.78
2026calas,5124,13.84
2026calas,4501,35.89
2026calas,5669,16.52
2026calas,5857,18.06
2026calas,9505,3.41
2026calas,4470,30.39
2026calas,7042,38.65
2026calas,8898,2.07
2026calas,1515,20.83
2026calas,6000,1.74
2026calas,867,21.23
2026calas,9696,19.68
2026calas,6904,36.96
2026cancmp,254,379.96
2026cancmp,9470,285.2
2026cancmp,1323,360.98
2026cancmp,6036,174.78
2026cancmp,3045,282.41
2026cancmp,1678,232.85
2026cancmp,972,182.68
2026cancmp,8,191.34
2026cancmp,581,212.99
2026cancmp,2813,209.46
2026cancmp,2073,196.62
2026cancmp,114,132.99
2026cancmp,3256,227.92
2026cancmp,5940,234.8
2026cancmp,6238,142.42
2026cancmp,3501,170.4
2026cancmp,8048,175.14
2026cancmp,846,197.53
2026cancmp,4698,199.6
2026cancmp,7419,145.13
2026cancmp,971,125.43
2026cancmp,3970,162.42
2026cancmp,604,206.04
2026cancmp,841,219.53
2026cancmp,5507,135.99
2026cancmp,1967,96.05
2026cancmp,1868,164.65
2026cancmp,3257,164.81
2026cancmp,1072,98.59
2026cancmp,1671,156.62
2026cancmp,5026,246.55
2026cancmp,9400,103.53
2026cancmp,7667,147.81
2026cancmp,5104,140.59
2026cancmp,3598,64.22
2026cancmp,2135,121.5
2026cancmp,6962,100.54
2026cancmp,840,108.18
2026cancmp,8033,82.87
2026cancmp,6665,59.7
2026cancmp,5817,115.93
2026cancmp,701,109.23
2026cancmp,10339,115.24
2026cancmp,8793,94.32
2026cancmp,670,127.42
2026cancmp,649,80.02
2026cancmp,6662,91.79
2026cancmp,6418,76.33
2026cancmp,2204,83.65
2026cancmp,7137,54.1
2026cancmp,253,90.27
2026cancmp,192,136.61
2026cancmp,115,135.15
2026cancmp,766,48.49
2026cancmp,4135,38.94
2026cancmp,6305,60.83
2026cancmp,4990,33.43
2026cancmp,5700,48.4
2026cancmp,6814,63.63
2026cancmp,5419,23.58
2026cancmp,11463,70.41
2026caoec,4414,379.03
2026caoec,3476,292.13
2026caoec,4201,181.94
2026caoec,5199,139.08
2026caoec,115,134.91
2026caoec,5474,96.53
2026caoec,4322,183.44
2026caoec,7157,63.49
2026caoec,5137,107.73
2026caoec,6695,90.43
2026caoec,3408,35.69
2026caoec,4141,61.22
2026caoec,3952,50.82
2026caoec,9271,62.17
2026caoec,6220,63.72
2026caoec,7447,39.51
2026caoec,3309,75.46
2026caoec,6885,8.67
2026caoec,4276,100.64
2026caoec,4919,32.87
2026caoec,7042,34.23
2026caoec,10336,34.42
2026caoec,5805,92.8
2026caoec,8891,0.23
2026caoec,5857,38.93
2026caoec,3020,42.28
2026caoec,3295,65.21
2026caoec,5500,26.35
2026caoec,5514,26.87
2026caoec,2658,48.59
2026caoec,4984,28.22
2026caoec,10586,7.02
2026caoec,9730,39.58
